Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,Scotland,The University of Edinburgh,Operational Research with Computational Optimization,"5,325,957 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/7697/operational-research-with-computational-optimization.html?ref=search_card
United Kingdom,Wales,Bangor University,Advanced Computer Science,"3,208,408 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/48280/advanced-computer-science.html?ref=search_card
United Kingdom,England,University of Wolverhampton,Computer Science,"2,719,126 BDT / year",1 year,4.1,105,6%,https://www.mastersportal.com/studies/252728/computer-science.html?ref=search_card
United Kingdom,England,University of Greenwich,Data Science and its Applications (Medway),"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454819/data-science-and-its-applications.html?ref=search_card
Multiple locations,N/A,Fresenius University of Applied Sciences,Computer Science,"1,607,108 BDT / year",2 years,4.3,13,,https://www.mastersportal.com/studies/472729/computer-science.html?ref=search_card
United Kingdom,England,Teesside University,Digital Forensics and Cyber Investigations (with Advanced Practice),"1,604,204 BDT / year","1 year, 8 months",4.3,83,7%,https://www.mastersportal.com/studies/271182/digital-forensics-and-cyber-investigations.html?ref=search_card
New Zealand,Wellington,Victoria University of Wellington,Computer Graphics,"2,949,035 BDT / full",8 months,4.1,74,2%,https://www.mastersportal.com/studies/268404/computer-graphics.html?ref=search_card
United Kingdom,England,University College Birmingham,Computer Science,"2,727,147 BDT / year",1½ year,4.4,57,,https://www.mastersportal.com/studies/443760/computer-science.html?ref=search_card
United Kingdom,Scotland,University of Stirling,Mathematics and Data Science,"3,898,215 BDT / year",1 year,4.2,71,3%,https://www.mastersportal.com/studies/273313/mathematics-and-data-science.html?ref=search_card
Multiple locations,N/A,Algoma University,Computer Science,"2,098,393 BDT / year",2 years,4.1,29,,https://www.mastersportal.com/studies/477009/computer-science.html?ref=search_card
United States,Maryland,"University of Maryland, Baltimore County (UMBC)",Cybersecurity,"3,287,685 BDT / year",2 years,4.2,9,4%,https://www.mastersportal.com/studies/483522/cybersecurity.html?ref=search_card
Australia,South Australia,Kaplan Business School,Master of Business Analytics (Information Technology),"2,098,429 BDT / year",2 years,4.8,4,,https://www.mastersportal.com/studies/465201/master-of-business-analytics.html?ref=search_card
United Kingdom,England,University of Greenwich,Data Science (FinTech),"2,999,861 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/454814/data-science.html?ref=search_card
United Kingdom,Scotland,The University of Edinburgh,Statistics and Operational Research,"5,325,957 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/46532/statistics-and-operational-research.html?ref=search_card
United States,Michigan,University of Michigan - Dearborn,Information Systems,"3,802,434 BDT / year",1 year,4.6,10,,https://www.mastersportal.com/studies/183600/information-systems.html?ref=search_card
United Kingdom,England,Queen Mary University of London,Data Analytics,"5,374,083 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/276095/data-analytics.html?ref=search_card
United States,Ohio,Xavier University,Business Analytics,"3,461,881 BDT / year",1 year,3.8,19,,https://www.mastersportal.com/studies/175944/business-analytics.html?ref=search_card
Ireland,Galway,University of Galway,Health Data Science,"3,806,308 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/449528/health-data-science.html?ref=search_card
United Kingdom,England,University of Bristol,Financial Technology with Data Science,"5,855,344 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/304379/financial-technology-with-data-science.html?ref=search_card
United Kingdom,England,The University of Exeter,Artificial Intelligence for the Environment,"4,732,401 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/486481/artificial-intelligence-for-the-environment.html?ref=search_card
Ireland,Maynooth,Maynooth University,Robotics and Embedded AI,"2,537,539 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/460890/robotics-and-embedded-ai.html?ref=search_card
United Kingdom,England,University of Surrey,Data Science,"3,994,468 BDT / year",1 year,4.4,72,2%,https://www.mastersportal.com/studies/272639/data-science.html?ref=search_card
United Kingdom,N Ireland,Queen's University Belfast,Software Development,"4,138,846 BDT / year",1 year,4.3,88,2%,https://www.mastersportal.com/studies/36342/software-development.html?ref=search_card
United States,New York,Long Island University (LIU),Library and Information Science,"6,204,926 BDT / year",1 year,3.8,5,,https://www.mastersportal.com/studies/97333/library-and-information-science.html?ref=search_card
Ireland,Cork,University College Cork,Mathematical Modelling and Machine Learning,"3,383,385 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/352568/mathematical-modelling-and-machine-learning.html?ref=search_card
United Kingdom,England,University of Reading,Data Science and Advanced Computing,"4,965,011 BDT / year",1 year,4.3,34,2%,https://www.mastersportal.com/studies/313680/data-science-and-advanced-computing.html?ref=search_card
United Kingdom,England,University of Surrey,Cyber Security with Professional Postgraduate Year,"3,994,468 BDT / year",2 years,4.4,72,2%,https://www.mastersportal.com/studies/440239/cyber-security-with-professional-postgraduate-year.html?ref=search_card
United Kingdom,England,University of Bath,Statistics and Data Science with Professional Placement,"4,459,687 BDT / year",2 years,4.4,60,2%,https://www.mastersportal.com/studies/290060/statistics-and-data-science-with-professional-placement.html?ref=search_card
France,Bordeaux,Écoles d'Ingénieurs - Engineering School (ECE),Artificial Intelligence,"1,767,819 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/472148/artificial-intelligence.html?ref=search_card
Finland,Vaasa,University of Vaasa,Artificial Intelligence and Data Engineering,"1,973,641 BDT / year",2 years,4.3,20,8%,https://www.mastersportal.com/studies/466183/artificial-intelligence-and-data-engineering.html?ref=search_card
United Kingdom,England,Sheffield Hallam University,Big Data Analytics (Work Experience),"1,850,449 BDT / year","1 year, 8 months",4.2,89,5%,https://www.mastersportal.com/studies/444433/big-data-analytics.html?ref=search_card
United States,Texas,Webster University,Data Analytics - San Antonio,"1,367,112 BDT / year",2½ years,4,13,,https://www.mastersportal.com/studies/484750/data-analytics-san-antonio.html?ref=search_card
United Kingdom,England,The University of Lancashire,Artificial Intelligence,"2,871,525 BDT / year",1 year,4.1,63,5%,https://www.mastersportal.com/studies/476209/artificial-intelligence.html?ref=search_card
United Kingdom,England,University of Derby,Big Data Analytics,"2,711,105 BDT / year",1 year,4.4,120,6%,https://www.mastersportal.com/studies/186337/big-data-analytics.html?ref=search_card
United Kingdom,England,Northumbria University,Big Data and Data Science Technology,"3,360,807 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/484837/big-data-and-data-science-technology.html?ref=search_card
United Kingdom,England,University of Birmingham,Financial Data Science,"4,879,988 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/453668/financial-data-science.html?ref=search_card
Ireland,Athlone,Technological University of the Shannon,Software Engineering,"2,467,052 BDT / year",1 year,4.2,19,,https://www.mastersportal.com/studies/244817/software-engineering.html?ref=search_card
United Kingdom,Scotland,The University of Edinburgh,Electronics,"6,288,479 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/126673/electronics.html?ref=search_card
